arch,dtype,num_heads,head_dim,hidden_dim,batch,max_seq_len,has_window,has_contextual,has_targets,block_m,block_n,num_waves,waves_per_eu,duration
gfx942,bf16,4,128,128,256,1024,False,False,False,64,16,2,0,0.5477826846273322
gfx942,bf16,4,64,128,256,1024,False,False,False,128,32,4,0,0.45665299108153895
gfx942,bf16,4,256,128,256,1024,False,False,False,64,16,4,0,0.727297825032267
gfx942,bf16,4,128,64,256,1024,False,False,False,64,32,4,2,0.4107694457663168
gfx942,bf16,4,64,64,64,16384,False,False,True,128,32,4,2,23.79
gfx942,bf16,8,64,64,64,16384,False,False,True,128,32,4,2,47.26
gfx942,bf16,4,64,64,1024,16384,False,False,True,128,32,4,2,165.1
gfx942,bf16,8,64,64,1024,16384,False,False,True,128,32,4,2,339.4
gfx950,bf16,4,128,128,256,1024,False,False,False,192,32,4,1,481.29228
gfx950,bf16,4,64,128,256,1024,False,False,False,160,16,2,2,418.6052199999999
gfx950,bf16,4,256,128,256,1024,False,False,False,128,32,4,0,719.1048599999999
gfx950,bf16,4,128,64,256,1024,False,False,False,96,16,2,2,272.2445600000001
gfx950,bf16,4,64,64,64,16384,False,False,True,192,32,4,4,8109.03525
gfx950,bf16,8,64,64,64,16384,False,False,True,192,32,4,4,16078.199250000001
gfx950,bf16,4,64,64,1024,16384,False,False,True,192,32,4,4,72846.55949999999
gfx950,bf16,8,64,64,1024,16384,False,False,True,192,32,4,4,145960.18225
