gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,543,7,7.4267,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0215,2.96,2967.33
gfx950,256,2,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,807,7,7.4963,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x9_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0192,5.87,2942.11
gfx950,256,4,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,543,7,7.5227,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks7_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0186,11.71,2936.41
gfx950,256,8,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,287,4,7.6104,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x8_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.012,23.15,2911.72
gfx950,256,16,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,550,8,8.0697,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0216,43.66,2763.25
gfx950,256,32,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2499,8,8.9064,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x7_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0221,79.12,2534.94
gfx950,256,64,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4897,8,10.7978,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks8_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0211,130.52,2142.49
gfx950,256,128,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4984,4,14.3023,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks4_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0139,197.07,1695.41
gfx950,256,256,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4207,4,19.2568,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks4_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0217,292.74,1374.92
gfx950,256,512,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,27.8128,native,0.0,405.36,1112.19
gfx950,256,1024,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2092,1,39.7309,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x4_ks1_w2x2x2_bias0_ktail0_gm4_pft_gfx950,0.0061,567.53,1002.89
gfx950,256,1,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,118,1,4.9926,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x8_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0022,1.42,1419.21
gfx950,256,2,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,4.9891,auto,0.0,2.84,1421.75
gfx950,256,4,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,133,1,5.0147,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x5_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0034,5.65,1417.55
gfx950,256,8,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,117,1,5.1379,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x8_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,11.02,1389.54
gfx950,256,16,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.1983,auto,0.0,21.79,1385.22
gfx950,256,32,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,222,1,5.8375,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,38.8,1254.59
gfx950,256,64,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,207,1,6.4991,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.003,69.7,1164.69
gfx950,256,128,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2095,1,7.2671,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,124.67,1109.24
gfx950,256,256,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2472,1,8.9719,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x4_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,201.96,1008.03
gfx950,256,512,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2951,1,11.8115,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,306.81,932.15
gfx950,256,1024,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,16.7557,native,0.0,432.55,891.77
gfx950,256,1,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,48,1,3.519,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x5_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,0.89,895.96
gfx950,256,2,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,53,1,3.6314,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,1.73,870.21
gfx950,256,4,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,73,1,3.7038,flydsl_hgemm_abf16_wbf16_bf16_t16x16x64x9_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,3.4,857.07
gfx950,256,8,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,152,1,3.7886,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,6.64,845.45
gfx950,256,16,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,3.6854,auto,0.0,13.66,884.68
gfx950,256,32,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,114,1,4.0263,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x4_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0012,25.0,838.26
gfx950,256,64,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,673,1,4.1149,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,48.93,875.96
gfx950,256,128,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1337,1,4.5885,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,87.75,885.53
gfx950,256,256,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2427,1,5.4879,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,146.74,907.59
gfx950,256,512,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2017,1,6.8583,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,234.84,993.79
gfx950,256,1024,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,328,1,9.1527,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,351.94,1145.65
