gfx,gpu_model,ep_size,phase,dtype,hidden_dim,topk,local_expert_num,zero_copy,num_tokens,block_num,warp_num_per_block
gfx950,mi355x,8,dispatch,fp4,7168,6,48,,8,128,4
gfx950,mi355x,8,dispatch,fp4,7168,6,48,,32,80,4
gfx950,mi355x,8,dispatch,fp4,7168,6,48,,64,128,4
gfx950,mi355x,8,dispatch,fp4,7168,6,48,,128,256,4
gfx950,mi355x,8,dispatch,fp4,7168,6,48,,256,128,4
gfx950,mi355x,8,dispatch,fp4,7168,6,48,,8192,128,8
gfx950,mi355x,8,dispatch,fp4,4096,6,32,,8,64,4
gfx950,mi355x,8,dispatch,fp4,4096,6,32,,16,80,4
gfx950,mi355x,8,dispatch,fp4,4096,6,32,,32,64,4
gfx950,mi355x,8,dispatch,fp4,4096,6,32,,4096,128,4
gfx950,mi355x,8,dispatch,fp4,4096,6,32,,8192,64,16
gfx950,mi355x,8,dispatch,fp4,3584,8,32,,8,64,4
gfx950,mi355x,8,dispatch,fp4,3584,8,32,,16,128,4
gfx950,mi355x,8,dispatch,fp4,3584,8,32,,32,64,4
gfx950,mi355x,8,dispatch,fp4,3584,8,32,,64,256,4
gfx950,mi355x,8,dispatch,fp4,3584,8,32,,2048,128,4
gfx950,mi355x,8,dispatch,fp4,3584,8,32,,4096,64,16
gfx950,mi355x,8,dispatch,fp8_ocp,7168,8,32,,4,64,4
gfx950,mi355x,8,dispatch,fp8_ocp,7168,8,32,,8,256,4
gfx950,mi355x,8,dispatch,fp8_ocp,7168,8,32,,32,64,4
gfx950,mi355x,8,dispatch,fp8_ocp,7168,8,32,,1024,128,4
gfx950,mi355x,8,dispatch,fp8_ocp,7168,8,32,,2048,128,8
gfx950,mi355x,8,dispatch,fp8_ocp,7168,8,32,,4096,256,4
gfx950,mi355x,8,dispatch,bf16,7168,8,32,,4,256,4
gfx950,mi355x,8,dispatch,bf16,7168,8,32,,32,128,4
gfx950,mi355x,8,dispatch,bf16,7168,8,32,,64,64,4
gfx950,mi355x,8,dispatch,bf16,7168,8,32,,1024,128,4
gfx950,mi355x,8,dispatch,bf16,7168,8,32,,2048,128,8
gfx950,mi355x,8,dispatch,bf16,7168,8,32,,4096,80,16
gfx950,mi355x,8,dispatch,bf16,7168,6,48,,4,80,4
gfx950,mi355x,8,dispatch,bf16,7168,6,48,,8,64,4
gfx950,mi355x,8,dispatch,bf16,7168,6,48,,16,80,4
gfx950,mi355x,8,dispatch,bf16,7168,6,48,,32,256,4
gfx950,mi355x,8,dispatch,bf16,7168,6,48,,64,256,16
gfx950,mi355x,8,dispatch,bf16,7168,6,48,,4096,128,4
gfx950,mi355x,8,dispatch,bf16,4096,6,32,,8,80,4
gfx950,mi355x,8,dispatch,bf16,4096,6,32,,16,64,4
gfx950,mi355x,8,dispatch,bf16,4096,6,32,,32,80,8
gfx950,mi355x,8,dispatch,bf16,4096,6,32,,64,128,4
gfx950,mi355x,8,dispatch,bf16,4096,6,32,,128,64,4
gfx950,mi355x,8,dispatch,bf16,4096,6,32,,4096,128,4
gfx950,mi355x,8,combine,bf16,7168,6,48,False,8,64,4
gfx950,mi355x,8,combine,bf16,7168,6,48,False,16,64,8
gfx950,mi355x,8,combine,bf16,7168,6,48,False,64,128,8
gfx950,mi355x,8,combine,bf16,7168,6,48,False,512,128,16
gfx950,mi355x,8,combine,bf16,7168,6,48,False,1024,128,8
gfx950,mi355x,8,combine,bf16,7168,6,48,False,8192,256,4
gfx950,mi355x,8,combine,bf16,7168,6,48,True,32,64,4
gfx950,mi355x,8,combine,bf16,7168,6,48,True,64,64,8
gfx950,mi355x,8,combine,bf16,7168,6,48,True,128,64,16
gfx950,mi355x,8,combine,bf16,7168,6,48,True,2048,64,4
gfx950,mi355x,8,combine,bf16,7168,6,48,True,4096,64,16
gfx950,mi355x,8,combine,bf16,7168,6,48,True,8192,64,4
gfx950,mi355x,8,combine,bf16,4096,6,32,False,16,64,4
gfx950,mi355x,8,combine,bf16,4096,6,32,False,64,64,8
gfx950,mi355x,8,combine,bf16,4096,6,32,False,512,128,16
gfx950,mi355x,8,combine,bf16,4096,6,32,False,1024,256,16
gfx950,mi355x,8,combine,bf16,4096,6,32,False,2048,256,4
gfx950,mi355x,8,combine,bf16,4096,6,32,False,8192,256,8
gfx950,mi355x,8,combine,bf16,4096,6,32,True,32,64,4
gfx950,mi355x,8,combine,bf16,4096,6,32,True,128,64,8
gfx950,mi355x,8,combine,bf16,4096,6,32,True,256,64,16
gfx950,mi355x,8,combine,bf16,4096,6,32,True,2048,64,4
gfx950,mi355x,8,combine,bf16,4096,6,32,True,4096,64,16
gfx950,mi355x,8,combine,bf16,4096,6,32,True,8192,64,4
gfx950,mi355x,8,combine,bf16,3584,8,32,False,8,64,4
gfx950,mi355x,8,combine,bf16,3584,8,32,False,16,64,8
gfx950,mi355x,8,combine,bf16,3584,8,32,False,32,128,8
gfx950,mi355x,8,combine,bf16,3584,8,32,False,64,256,8
gfx950,mi355x,8,combine,bf16,3584,8,32,False,1024,256,16
gfx950,mi355x,8,combine,bf16,3584,8,32,False,4096,128,8
gfx950,mi355x,8,combine,bf16,3584,8,32,True,8,64,4
gfx950,mi355x,8,combine,bf16,3584,8,32,True,16,64,8
gfx950,mi355x,8,combine,bf16,3584,8,32,True,32,64,16
gfx950,mi355x,8,combine,bf16,3584,8,32,True,512,128,8
gfx950,mi355x,8,combine,bf16,3584,8,32,True,4096,128,16
gfx950,mi355x,8,combine,bf16,7168,8,32,False,8,64,4
gfx950,mi355x,8,combine,bf16,7168,8,32,False,16,64,8
gfx950,mi355x,8,combine,bf16,7168,8,32,False,32,128,8
gfx950,mi355x,8,combine,bf16,7168,8,32,False,128,256,8
gfx950,mi355x,8,combine,bf16,7168,8,32,False,1024,128,16
gfx950,mi355x,8,combine,bf16,7168,8,32,False,8192,256,16
gfx950,mi355x,8,combine,bf16,7168,8,32,True,16,64,4
gfx950,mi355x,8,combine,bf16,7168,8,32,True,32,64,8
gfx950,mi355x,8,combine,bf16,7168,8,32,True,64,64,4
gfx950,mi355x,8,combine,bf16,7168,8,32,True,8192,64,16
