shape,B,op,wdtype,act,flydsl_us,ck_us,ratio,fly_tbs,ck_tbs,fly_peak,fly_spr,ck_spr,cos,note
deepseek-v3,1,down,fp4,-,18.1453,29.6461,0.612063,3.43837,2.1045,42.9797,5.80346,0.298859,1,noisy (>5% spread)
deepseek-v3,1,down,fp8,-,,35.3736,,,3.32,,,0.0627587,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,1,gate_up,fp4,bf16,29.0553,50.2104,0.57867,4.29459,2.48515,53.6824,2.52308,0.107149,1,
deepseek-v3,1,gate_up,fp8,bf16,,46.5244,,,5.04856,,,0.169373,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,2,down,fp4,-,31.2949,37.4887,0.834783,3.98725,3.32848,49.8406,0.126137,0.204328,1,
deepseek-v3,2,down,fp8,-,,51.8767,,,4.52768,,,0.170982,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,2,gate_up,fp4,bf16,53.3716,92.3138,0.578154,4.67591,2.7034,58.4489,0.382218,0.0341227,1,
deepseek-v3,2,gate_up,fp8,bf16,,86.4009,,,5.437,,,0.168864,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,4,down,fp4,-,54.855,69.0738,0.794151,4.54947,3.61296,56.8683,0.112969,0.12074,1,
deepseek-v3,4,down,fp8,-,,93.4108,,,5.02899,,,0.1897,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,4,gate_up,fp4,bf16,104.43,173.768,0.600974,4.77948,2.87235,59.7435,0.132574,0.100594,1,
deepseek-v3,4,gate_up,fp8,bf16,,164.694,,,5.70465,,,0.100428,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,8,down,fp4,-,107.899,134.576,0.801773,4.62582,3.70886,57.8227,2.34217,0.08746,1,
deepseek-v3,8,down,fp8,-,,179.973,,,5.22036,,,0.10246,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,8,gate_up,fp4,bf16,208.157,339.212,0.61365,4.79562,2.94283,59.9453,0.175945,0.0404467,1,
deepseek-v3,8,gate_up,fp8,bf16,,317.08,,,5.9261,,,0.130535,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,32,down,fp4,-,416.05,480.923,0.865108,4.79868,4.15137,59.9835,0.174867,0.238354,1,
deepseek-v3,32,down,fp8,-,,673.83,,,5.57722,,,0.0879599,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
deepseek-v3,32,gate_up,fp4,bf16,839.041,1330.6,0.630572,4.75898,3.00088,59.4872,0.264664,0.0595069,1,
deepseek-v3,32,gate_up,fp8,bf16,,1261.39,,,5.95864,,,0.150603,,FlyDSL n/a (DeepSeek FP8 -> K3 Tier-2, B5)
minimax,1,down,fp4,-,9.93483,20.8878,0.475628,2.01856,0.960083,25.232,1.51753,0.217831,1,
minimax,1,down,fp8,-,12.0506,23.2594,0.518097,3.13251,1.62295,39.1564,5.8129,0.0881364,1,noisy (>5% spread)
minimax,1,gate_up,fp4,bf16,11.5039,18.3964,0.625333,3.48648,2.18021,43.581,0.370853,0.609358,1,
minimax,1,gate_up,fp8,bf16,14.9456,19.2601,0.775986,5.0515,3.91989,63.1437,0.202034,0.478191,1,
minimax,2,down,fp4,-,13.3267,27.336,0.487515,3.0096,1.46722,37.62,7.51736,12.32,1,noisy (>5% spread)
minimax,2,down,fp8,-,18.6686,27.45,0.680094,4.04409,2.75036,50.5511,9.95451,0.182514,1,noisy (>5% spread)
minimax,2,gate_up,fp4,bf16,18.3276,32.7425,0.55975,4.37679,2.44991,54.7099,1.42213,0.0818508,1,
minimax,2,gate_up,fp8,bf16,26.0758,32.1434,0.811234,5.79061,4.69754,72.3827,0.77832,0.149642,1,
minimax,4,down,fp4,-,22.3383,29.6531,0.75332,3.59097,2.70515,44.8871,0.82284,0.044852,1,
minimax,4,down,fp8,-,32.5741,36.5965,0.890087,4.63543,4.12594,57.9429,2.34734,0.105201,1,
minimax,4,gate_up,fp4,bf16,34.8894,59.7405,0.584017,4.5983,2.68548,57.4788,0.141353,0.0619345,1,
minimax,4,gate_up,fp8,bf16,49.6355,56.3683,0.880557,6.08415,5.35744,76.0519,1.77909,0.169421,1,
minimax,8,down,fp4,-,39.9162,53.8744,0.740912,4.01923,2.97789,50.2403,1.97579,0.127519,1,
minimax,8,down,fp8,-,60.6538,65.5963,0.924652,4.97891,4.60376,62.2364,1.09174,0.0910112,1,
minimax,8,gate_up,fp4,bf16,64.2237,112.317,0.571809,4.99604,2.85678,62.4505,3.6487,0.172993,1,
minimax,8,gate_up,fp8,bf16,97.1102,104.338,0.930724,6.21953,5.78866,77.7441,0.524012,0.123349,1,
minimax,32,down,fp4,-,149.329,171.261,0.871941,4.2974,3.74708,53.7176,0.041428,0.32179,1,
minimax,32,down,fp8,-,226.646,227.864,0.99465,5.32973,5.30122,66.6216,1.43924,0.713406,1,
minimax,32,gate_up,fp4,bf16,251.244,431.596,0.582129,5.1084,2.97375,63.855,1.93664,0.161864,1,
minimax,32,gate_up,fp8,bf16,388.68,401.883,0.967146,6.2157,6.0115,77.6963,0.210394,0.213047,1,
qwen3next,1,down,fp4,-,5.2268,9.7728,0.534831,1.06577,0.570007,13.3221,0.126614,0.19544,1,
qwen3next,1,down,fp8,-,5.71158,10.3765,0.550434,1.83588,1.01053,22.9485,0.340873,0.0934805,1,
qwen3next,1,gate_up,fp4,bf16,6.0655,7.2126,0.840959,1.8368,1.54467,22.96,0.253209,0.428417,1,
qwen3next,1,gate_up,fp8,bf16,7.03499,7.8502,0.896155,2.98103,2.67146,37.2629,5.36872,0.537566,1,noisy (>5% spread)
qwen3next,2,down,fp4,-,5.83927,11.3508,0.514437,1.90797,0.981527,23.8496,0.15772,0.208796,1,
qwen3next,2,down,fp8,-,7.13877,15.2024,0.469582,2.93769,1.37949,36.7212,0.282305,0.699232,1,
qwen3next,2,gate_up,fp4,bf16,8.68817,10.9344,0.794573,2.56466,2.03781,32.0583,1.80394,0.434409,1,
qwen3next,2,gate_up,fp8,bf16,9.84417,12.7384,0.772795,4.2607,3.29265,53.2587,5.75801,0.199397,1,noisy (>5% spread)
